id	paper	permanent_id	sample_type	latitude	longitude	continent	year_of_sampling_from	year_of_sampling_to	Biome	primers	MAT	MAP	pH	SOC	ITS_total	manipulated	abundances
3962	106	GF05021373S	soil	37.15	128.912	Asia	2020	2020	forest	5.8S_Fun/ITS4_Fun	6.2	1599	5.5	28.7	99077	0	619
3963	835	GF01001105S	soil	-33.6046	150.73	Australia	2015	2015	grassland	ITS1F/ITS4	17.6	889	6.7	0.6	251732	0	6
3966	50	GF05026149S	soil	46.87	8.76	Europe	2014	2014	grassland	ITS3/ITS4	5.9	1417	5.8	15.8	40781	0	49
3971	516	GF03007855S	soil	48.667	14.7038	Europe	2015	2015	forest	gITS7/ITS4	6.9	760	4.3	21	33587	0	2402
3973	835	GF01001107S	soil	-32.5227	116.172	Australia	2016	2016	forest	ITS1F/ITS4	16.7	1015	6.1	6.3	55145	0	1
3989	95	GF05022307S	soil	48.5226	-79.4328	North America	2017	2017	forest	fITS7/ITS4	2.1	780	4.9	28.6	63722	0	26
3994	378	GF04010264S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	836973	0	138
3995	530	GF03007202S	rhizosphere soil	49.2877	16.7349	Europe	2014	2014	forest	gITS7/ITS4	8.2	583	5.2	13.9	11334	0	4
3996	378	GF04010262S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	883910	0	606
3997	378	GF04010256S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	866451	0	714
3999	378	GF04010260S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	841684	0	28
4000	378	GF04009096S	topsoil	24.53	101.02	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	1027967	0	3
4001	378	GF04010261S	topsoil	24.53	101.02	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	493064	0	3
4003	378	GF04010257S	topsoil	24.53	101.02	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	169703	0	1
4004	378	GF04010259S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	662612	0	1
4005	378	GF04011705S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	680358	0	29
4008	472	GF04001049S	root	23.2751	111.533	Asia	2017	2017	forest	ITS1F/ITS2	22.1	1554	6	3.8	86361	0	3
4010	378	GF04010265S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	670960	0	7
4012	835	GF01001109S	soil	-35.0814	138.658	Australia	2014	2014	woodland	ITS1F/ITS4	14.1	894	5.5	3.1	146542	0	307
4015	843	GF01000298S	soil	41.3915	-73.956	North America	2013	2013	forest	fITS7/ITS4	11.7	909	6	14.4	130425	0	5
4016	835	GF01001110S	soil	-35.4235	148.797	Australia	2013	2013	forest	ITS1F/ITS4	9.2	1221	5.3	3.4	216337	0	1
4017	549	GF03006267S	root	60.7475	25.2214	Europe	2016	2016	forest	gITS7/ITS4	4.8	621	5.1	13.9	117600	0	1
4021	378	GF04010266S	topsoil	24.53	101.02	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	792921	0	2
4022	378	GF04010268S	topsoil	21.61	101.57	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	21.6	1418	5.2	1.4	1053893	0	38
4023	378	GF04010267S	topsoil	21.61	101.57	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	21.6	1418	5.2	1.4	684818	0	1
4024	378	GF04010270S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	722274	0	367020
4025	378	GF04010269S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	1401163	0	154076
4029	266	GF05006010S	soil	51.7697	10.3936	Europe	2017	2017	forest	ITS3_KYO2/ITS4	7.1	1072	4.7	27.1	29432	0	951
