id,scientificName,latitude,longitude,eventDate,basisOfRecord,occurrenceStatus,datasetName,institutionCode,abundance
395,Amanita,37.0373,-2.96833,2014-01-01,MaterialSample,present,Amanita_study,GBIF,8452
400,Amanita,-14.1167,28.6,2017-01-01,MaterialSample,present,Amanita_study,GBIF,1
405,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,946
407,Amanita,38.0321,128.463,2018-01-01,MaterialSample,present,Amanita_study,GBIF,7
409,Amanita,-35.6348,138.12,2014-01-01,MaterialSample,present,Amanita_study,GBIF,1
412,Amanita,24.533,101.016,2015-01-01,MaterialSample,present,Amanita_study,GBIF,3
416,Amanita,40.8558,123.891,2014-01-01,MaterialSample,present,Amanita_study,GBIF,4
418,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,2
419,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,2
421,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,33
422,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,86
423,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,44
424,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,90
429,Amanita,21.61,101.57,2016-01-01,MaterialSample,present,Amanita_study,GBIF,1
430,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,9
432,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,168
434,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,3
437,Amanita,23.2788,111.532,2017-01-01,MaterialSample,present,Amanita_study,GBIF,2
439,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,5
441,Amanita,21.8465,114.014,2014-01-01,MaterialSample,present,Amanita_study,GBIF,5
442,Amanita,21.61,101.57,2016-01-01,MaterialSample,present,Amanita_study,GBIF,26
443,Amanita,10.8615,-85.5755,2013-01-01,MaterialSample,present,Amanita_study,GBIF,103
446,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,338377
448,Amanita,61.5944,24.1159,2019-01-01,MaterialSample,present,Amanita_study,GBIF,1
449,Amanita,40.4399,-3.68941,2015-01-01,MaterialSample,present,Amanita_study,GBIF,6
451,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,14
452,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,24
456,Amanita,56.6579,24.3379,2019-01-01,MaterialSample,present,Amanita_study,GBIF,14
468,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,17
472,Amanita,35.9169,138.819,2014-01-01,MaterialSample,present,Amanita_study,GBIF,294
476,Amanita,21.61,101.57,2016-01-01,MaterialSample,present,Amanita_study,GBIF,18
479,Amanita,24.53,101.02,2017-01-01,MaterialSample,present,Amanita_study,GBIF,1
481,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,35
484,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,13
487,Amanita,-33.6528,150.268,2014-01-01,MaterialSample,present,Amanita_study,GBIF,1
491,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,1
495,Amanita,-35.6387,138.126,2014-01-01,MaterialSample,present,Amanita_study,GBIF,719
499,Amanita,9.75,-83.78,2015-01-01,MaterialSample,present,Amanita_study,GBIF,1
500,Amanita,24.53,101.02,2017-01-01,MaterialSample,present,Amanita_study,GBIF,2
502,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,1
505,Amanita,35.049,-83.434,2013-01-01,MaterialSample,present,Amanita_study,GBIF,1422
508,Amanita,-33.6107,150.72,2015-01-01,MaterialSample,present,Amanita_study,GBIF,86
509,Amanita,21.61,101.57,2016-01-01,MaterialSample,present,Amanita_study,GBIF,394
515,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,280
517,Amanita,24.53,101.02,2017-01-01,MaterialSample,present,Amanita_study,GBIF,31
518,Amanita,22.56,101.18,2020-01-01,MaterialSample,present,Amanita_study,GBIF,61
521,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,13
522,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,3
528,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,15
529,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,1
534,Amanita,-37.076,-71.644,2018-01-01,MaterialSample,present,Amanita_study,GBIF,9
537,Amanita,45.1,5.89,2018-01-01,MaterialSample,present,Amanita_study,GBIF,909
547,Amanita,47.66,8.53,2014-01-01,MaterialSample,present,Amanita_study,GBIF,2036
550,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,116
567,Amanita,27.167,100.167,2015-01-01,MaterialSample,present,Amanita_study,GBIF,7
569,Amanita,38.1644,113.524,2018-01-01,MaterialSample,present,Amanita_study,GBIF,11
570,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,141
571,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,53
576,Amanita,29.5944,102.036,2014-01-01,MaterialSample,present,Amanita_study,GBIF,38
579,Amanita,29.256,118.144,2016-01-01,MaterialSample,present,Amanita_study,GBIF,2254
581,Amanita,31.85,103.56,2020-01-01,MaterialSample,present,Amanita_study,GBIF,84
596,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,2
597,Amanita,35.263,-77.468,2018-01-01,MaterialSample,present,Amanita_study,GBIF,51
599,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,2581
604,Amanita,-42.2844,147.402,2014-01-01,MaterialSample,present,Amanita_study,GBIF,43
606,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,121
607,Amanita,39.8095,-94.1318,2015-01-01,MaterialSample,present,Amanita_study,GBIF,3027
608,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,23
610,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,2875
614,Amanita,-33.705,150.456,2015-01-01,MaterialSample,present,Amanita_study,GBIF,3662
617,Amanita,24.53,101.02,2017-01-01,MaterialSample,present,Amanita_study,GBIF,1
625,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,31
627,Amanita,27.167,100.167,2015-01-01,MaterialSample,present,Amanita_study,GBIF,4
630,Amanita,48.3959,9.4392,2011-01-01,MaterialSample,present,Amanita_study,GBIF,1
633,Amanita,41.96,-75.717,2012-01-01,MaterialSample,present,Amanita_study,GBIF,1
638,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,86
640,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,26
643,Amanita,-36.9162,174.646,2017-01-01,MaterialSample,present,Amanita_study,GBIF,37
649,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,222
653,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,1
654,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,31
655,Amanita,21.8206,113.959,2014-01-01,MaterialSample,present,Amanita_study,GBIF,4
659,Amanita,-42.6793,146.671,2013-01-01,MaterialSample,present,Amanita_study,GBIF,4
660,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,2
662,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,2
667,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,44
670,Amanita,-27.3861,152.879,2013-01-01,MaterialSample,present,Amanita_study,GBIF,1
671,Amanita,51.675,9.55525,2017-01-01,MaterialSample,present,Amanita_study,GBIF,61
677,Amanita,21.61,101.57,2016-01-01,MaterialSample,present,Amanita_study,GBIF,1
678,Amanita,24.53,101.02,2017-01-01,MaterialSample,present,Amanita_study,GBIF,2
682,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,246
683,Amanita,-33.7284,119.722,2013-01-01,MaterialSample,present,Amanita_study,GBIF,2
684,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,19
688,Amanita,31.31,130.46,2015-01-01,MaterialSample,present,Amanita_study,GBIF,153
692,Amanita,38.2618,113.488,2018-01-01,MaterialSample,present,Amanita_study,GBIF,8
694,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,296
